rating,username,date,comment
7,xtraturn,Mar 2025,NaN
9,OneBadThominator,Mar 2025,NaN
7.5,Gamelover28,Mar 2025,NaN
8.5,FEDEED,Mar 2025,NaN
7.5,Maius,Mar 2025,NaN
10,jathho1138,Mar 2025,NaN
9,Tempomeister,Mar 2025,NaN
7,GNaito,Mar 2025,NaN
8,ced09,Mar 2025,NaN
6,ourmove123,Mar 2025,"Cascadia has a decent theme that sets a pleasant backdrop for the game.

The dual task of matching land tiles and animal patterns, while straightforward, might lack excitement for some players.

The variations in animal cards (A-B-C-D versions) don't can enhance the game's novelty.

The game does have some luck, but feels quite balanced, and it will rarely feel unfair.

It's an excellent choice for those new to tabletop gaming, offering an accessible entry point.

One of the best abstract games I've played.

The solo mode has no AI opponent, mainly flushes the market every turn, and encourages the player to beat their high score."
9,Lupaz,Mar 2025,NaN
2,Laszlo_Jamf,Mar 2025,NaN
7.9,Helldog_ak,Mar 2025,NaN
7,mykindameeple,Mar 2025,- 1-4 players
7,bartlantz,Mar 2025,NaN
9,Wildthing7,Mar 2025,NaN
8,gehlica,Mar 2025,NaN
6.4,Rogermorales,Mar 2025,NaN
8,marvindu97,Mar 2025,NaN
9,Wingspan100,Mar 2025,NaN
8,Corvus_Corax,Mar 2025,NaN
8,hezequiel,Mar 2025,NaN
8,heatbbx,Mar 2025,"+ 3D Printed Insert
+ Landmarks
+ KS Promos
+ 3D Printed Pinecones

The best of this series in my opinion (Verdant, Calico, Cascadia). Abstract strategy game with a quick time to the table and fast teach, but lots of ""thinky"" moments. So well executed and such a beautiful table presence. It is very much a multi-player solo game but paying attention to what other people are doing will help you maximize in areas they are not. Also great conversationally at the table. Appeals to the heavy gamer and the casual gamer alike. Rewards thinky play but ultimately an easy game. Can't recommend enough.

Rating Tracker:
December 2022 - 8.5
September 2023 - 9 - Had to raise this as it's my most played game of the year. Not fair to leave it below a 9."
7.5,Roomiz Games,Mar 2025,NaN
8,affarimiei,Mar 2025,NaN
9,mundanesoul,Mar 2025,NaN
7,WildaBeast,Mar 2025,NaN
8,julitze,Mar 2025,NaN
8,bettyspaghetti5,Mar 2025,NaN
6,Xenobyre,Mar 2025,NaN
8,Connix,Mar 2025,NaN
7,Martianmallow,Mar 2025,NaN
5,kunosuke11,Mar 2025,NaN
9,Targon124,Mar 2025,NaN
7,Manzarak,Mar 2025,*
6,Jamborszarvas,Mar 2025,NaN
6,patterneer,Mar 2025,NaN
8,Rayazaa,Mar 2025,NaN
8,ajie426,Mar 2025,"超主观点评（5人局）：
1、这是第二次玩了，第一次玩是1年多前的2023年12月24日（3人），当时觉得可能是期待太高，没有想象中好玩，打了7分。现在发现有扩展了再试试，降低预期后感觉它又行了，以后还可以开。
2、自然地标这个扩展挺不错的，大大增强了相同地形连续摆放的优势，且加入了竞速元素，地标先到先得，且强弱区别很大，先拿的大概率可以拿到加分多的，最后再拿的可能只能加1分。
3、游戏玩法简单，动物主题也很友好，适合推新。同时在简单的机制下，每一个选择都很纠结，老玩家也可以玩得很开心。
小心得：
1、开局就要研究清楚几种动物的算分方式，蛮多动物是可以互相叠加的，考虑清楚自己的主力方向。
2、每种地形都一直连续是不现实的，要有取舍。
玩法：
到自己时选择一组栖息地+其对应的动物，然后把动物放到自己的个人版图中；当有一种地形有5块相连时可以拿一个地标和地标牌，所有板块拿完则游戏结束，对照每种动物的计分规则进行计分。"
8,keithsantos1007,Mar 2025,NaN
8,abdurrahim,Mar 2025,NaN
9,Rautaysi,Mar 2025,NaN
8,melalimelo,Mar 2025,NaN
8,xblackice,Mar 2025,NaN
7.5,molofsso,Mar 2025,NaN
6,whitecatplays,Mar 2025,Classic but turns out I’m not big on pattermaking.
7,banditwins,Mar 2025,"Everyone that plays enjoys this one. I like the theme, the drafting, the puzzly nature. I can never really tell who's ahead until the final score tally."
8.5,guemguem,Mar 2025,NaN
8,erderendel,Mar 2025,NaN
8.5,addastefans,Mar 2025,"Æðislegt spil sem gaman er að spila, meira að segja einn. Einfalt að læra og mun verða sígilt. Leikreglur einfaldar, auðvelt og skemmtilegt og alltaf til í að spila það"
7,Nemoooo,Mar 2025,NaN
8,samshaw,Mar 2025,NaN
5,Mossybag,Mar 2025,NaN
9,viridon,Mar 2025,"+ Delightful, peaceful spatial puzzle
+ Good amount of variability
+/- Low energy and interaction"
7,Hfufj748,Mar 2025,"02/03/01,04?
liked-by-bw, liked-by-alol, lukewarm-by-sb"
9,tombraidergirl,Mar 2025,NaN
7,AuntieEthel,Mar 2025,NaN
7.5,odlos,Mar 2025,NaN
8,CharlyLara,Mar 2025,NaN
8,isnai,Mar 2025,NaN
6,NaWaK56,Mar 2025,NaN
9,Nilbogcoffee,Mar 2025,NaN
8.8,Demokiki,Mar 2025,NaN
,7roy,Mar 2025,"1–6 Players (Best: 2-3)
Playing Time: 30–45 Min
Weight: 1.86
(End Game Bonuses, Hexagon Grid, Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement, Variable Set-up, Victory Points as a Resource)
[Animals, Environmental, Puzzle]"
10,O_Gama,Mar 2025,NaN
10,Wildbuilt,Mar 2025,NaN
7.5,gameunderprotest,Mar 2025,NaN
7,Blue_Squirrel17,Mar 2025,NaN
8,MilanNL,Mar 2025,NaN
8,Zetsuen,Mar 2025,NaN
8,zindrey,Mar 2025,NaN
8.5,annmarie1202,Mar 2025,NaN
8.5,Jderry,Mar 2025,NaN
7,Imdamned,Mar 2025,NaN
8.2,Tomarr,Mar 2025,"w/ Landmarks expansion
w/ Expansion in box"
8,delaneygames,Mar 2025,NaN
8,maejohns,Mar 2025,NaN
8,Andres86,Mar 2025,NaN
8,wadetski,Mar 2025,NaN
7,apminiatures,Mar 2025,NaN
7,Holaola31,Mar 2025,NaN
7,GianSky,Mar 2025,NaN
9,Eeore4,Mar 2025,NaN
7,Nrgg,Mar 2025,NaN
7.6,Candorras,Mar 2025,NaN
9,ardhiraka,Mar 2025,NaN
8,Meat_Goblin,Mar 2025,NaN
7,MisterBond,Mar 2025,NaN
8,CoffeeCat99,Mar 2025,"I love the art in the cards and tokens. Being able to pay to change the rule slightly or ""respawn"" the animals was a great way to change the dynamic. I want to play this game again. I tried it from a game library."
7.5,mguo1108,Mar 2025,NaN
7,StefB,Mar 2025,NaN
5,Coloneljesus,Mar 2025,"A pretty zen game for me, but not much more. Little to no player interaction means that games start to feel same-y quickly, even with changing scoring rules."
10,Oisicram,Mar 2025,NaN
8,juanjo1990,Mar 2025,"Juego para toda la familia o casi. El tema de jugar con la estrategia de cumplir los hitos se puede hacer un poco cuesta arriba para aquellos que no estén muy familiarizados con el mundillo de los juegos. Para los más jugones les puede entretener, pero probablemente no sea un juego recurrentemente elegido para sacar en una sesión."
5,Goober327,Mar 2025,NaN
7.5,Diegospawn,Mar 2025,NaN
6,MayhemDragon117,Mar 2025,NaN
,BGRuss,Mar 2025,Solo
9.5,ShallowGamer,Mar 2025,NaN
7,Soulwolf269,Mar 2025,NaN
7.5,Meeplemangaming,Mar 2025,NaN
7.5,kotya088,Mar 2025,NaN
8,darwin0609,Mar 2025,NaN
8.5,NINEVIDAS,Mar 2025,NaN
8.2,gr4sshopper,Mar 2025,NaN
7,bspring,Mar 2025,NaN
7.5,danxel,Mar 2025,NaN
7,InfinitySpirit,Mar 2025,NaN
,spectrablue,Mar 2025,Nature. Keep.
8,Margotvm,Mar 2025,NaN
7,Cedric2,Mar 2025,NaN
8,benny1980no,Mar 2025,NaN
8,ChalsDapein,Mar 2025,NaN
7,Karlrp91,Mar 2025,NaN
7,varj,Mar 2025,includes Cascadia: Kickstarter Promo Cards
8.5,haydenwilkens,Mar 2025,Favorite tile placement game OAT! Great pieces & theme!
7,smorgBG,Mar 2025,NaN
7,KERBORG,Mar 2025,NaN
7.1,hatchimmmmm,Mar 2025,NaN
8,PinazUmrigar,Mar 2025,NaN
8,Pespinogomez,Mar 2025,NaN
8,DxbGameGeek,Mar 2025,NaN
7,lupac2000,Mar 2025,NaN
9,Pouya_nad,Mar 2025,NaN
8,Olmoluponero,Mar 2025,NaN
7.5,AlexParkJi13,Mar 2025,NaN
10,Andrey9014,Mar 2025,NaN
8,AlPacino11,Mar 2025,Great pattern building! I'm not sure if I prefer it to the tightness that Calico offers!
8.3,abedini168,Mar 2025,NaN
,CafeBIR,Mar 2025,BIR Akademi 2024
4,dennislaumen,Mar 2025,"I've only played this solo, so take all of this with a grain of salt. After playing solo however, I'm pretty sure I'd like this best solo, or maybe as a two player game, but that would really depend on the partner and atmosphere around the session as to be fair. You'd both be playing your own solo game as interaction is extremely limited and mostly accidental.

I really enjoy the drafting of couples of tiles and tokens, and the way this interacts with the tableau building. It's a nice puzzle and is able to straddle the line between challenging and relaxing very well. I also really enjoy the different objective cards, that change up the puzzle every time.

The massive downside being that you're really playing a solo game together. I can't imagine playing this game with 4, it would probably drive me crazy."
7.2,Sphincterminator,Mar 2025,NaN
9,Isamors,Mar 2025,NaN
9.5,Osprey_45,Mar 2025,"A lot of love for this game. Can be scaled on from a chill experience to more challenging by picking one of the scenarios from the booklet. Fantastic solo or as a duo, unsure about 3-4 player experience.

Easy to learn, satisfying to get good at. Can easily play a few rounds of this and get lost with some good music, or equally pull up a quick game with a coffee before work.

Some of the cards could have had example scores on to help decipher the rules. A little searching online helped figure out the nuances."
7,nielsvk,Mar 2025,NaN
7.5,Carrie003,Mar 2025,NaN
7.5,wademitchell,Mar 2025,NaN
7.5,AerynSpaceFamily,Mar 2025,"KS, nice theme. Kids not so into it, tho. It’s fun not to be confined to a board. Fun & pretty. Unfortunately, my family won’t play it, so hard to table. Side note: Wish the animals & terrain made a little more sense.
BGG rec at 2-3"
8.5,mcandes1,Mar 2025,NaN
3,keyunjie96,Mar 2025,NaN
9,Kbguy1,Mar 2025,NaN
8,Taylordeal,Mar 2025,NaN
7,boardgamemasters,Mar 2025,NaN
9.2,Chielleke,Mar 2025,NaN
8,mightygodking,Mar 2025,NaN
9,Gortax,Mar 2025,NaN
7.3,Cdubose7777,Mar 2025,NaN
6,Speedbully,Mar 2025,NaN
8,Chimo90,Mar 2025,NaN
7,spiraldaddy,Mar 2025,NaN
8,fparra85,Mar 2025,NaN
7,melisa101,Mar 2025,NaN
10,OlyaBoo,Mar 2025,NaN
8,stormburns,Mar 2025,NaN
6,zbqt,Mar 2025,NaN
8.5,Borussenfreak00,Mar 2025,NaN
7.5,fonin6,Mar 2025,NaN
8,Saraiwiw,Mar 2025,NaN
7,nathan_coleman,Mar 2025,NaN
8.5,MaitreYo06,Mar 2025,NaN
7.3,dan9f2,Mar 2025,NaN
7.5,mau133,Mar 2025,NaN
8.8,Mattoneeh,Mar 2025,NaN
8,JonaFabulous,Mar 2025,NaN
6,LessonIsNeverTry,Mar 2025,NaN
10,Lucy3107,Mar 2025,NaN
8,Kharghurzarek,Mar 2025,NaN
8,Thatedeboy,Mar 2025,NaN
8.5,FIREFENIX13,Mar 2025,NaN
6,Saidego,Mar 2025,NaN
8,Amirshams,Mar 2025,NaN
8,eskwilax,Mar 2025,NaN
7,Richi5000,Mar 2025,Lukas
8,Ackter,Mar 2025,NaN
7,Eton2343,Mar 2025,Family game
9,Hernanaparicio,Mar 2025,NaN
8,markmcmulti,Mar 2025,NaN
,Jer29Thirteen,Mar 2025,Landmarks Expansion.
7,TheMeeplesAdvocate,Mar 2025,NaN
8.5,AferimCarabin,Mar 2025,"20/03/2025 collection update
@Vladutz"
5,Jessica_Pink,Mar 2025,NaN
9,thahtgie,Mar 2025,NaN
9,boniek1982,Mar 2025,My second fave
7,Thanguard,Mar 2025,NaN
7.5,Powernoodle,Mar 2025,NaN
8,Poskasto,Mar 2025,Very interesting game revolving around taking tiles or animals (IIRC). Careful planning and management is important.
10,biffoski,Mar 2025,NaN
6,graham671,Mar 2025,NaN
7,Awfulone,Mar 2025,NaN
5,poopooonastick,Mar 2025,NaN
,Blimorator,Mar 2025,4
9,nocto,Mar 2025,NaN
8,jpeak1600,Mar 2025,NaN
9,Liver_Spots2024,Mar 2025,With 3D printed inserts and 3D printed pinecones. Expansion (Landmarks) also in box
9,mistyrainKA,Mar 2025,NaN
7.5,FeiJai24,Mar 2025,Played an online solo demo at https://myautoma.github.io/
8,PPJC,Mar 2025,NaN
8.5,wettstein,Mar 2025,NaN
7.6,glovinski,Mar 2025,NaN
9.7,Springfisher,Mar 2025,NaN
10,GhostlyGames,Mar 2025,"Cascadia is a beautiful game! Its easy to get the hang of, games are not exceptionally long, and its easy to replay. This is a great bonding game that feels like a little bit of luck and a little bit of strategy make for a unique experience each time. My fiancé and I have played well over 20 games now and its nearly a 50/50 win rate between us, it is balanced, fun, forgiving, and fun to play."
7.5,hquiller,Mar 2025,NaN
8,catmessi,Mar 2025,NaN
10,Darknlves,Mar 2025,"What to say. Such a cool puzzle to do. Works good at 2.
Also awesome to play solo with the challenges."
,cd8dman,Mar 2025,"Sat on my wishlist for much too long. 1-4 player games just have a lot of competition. The expansion pushed this into my grab list because of the additional player counts.

Pros:
Easy to learn
Plays well with large number of players
Works with the theme
Was able to teach the family version to a 4 year old without much effort.
Setup allows a strong amount of variation.

Cons:
Point salad can take a lot of time.
Achievements were a bit confusing."
8.5,CraigHurst,Mar 2025,NaN
8,Oscar10,Mar 2025,NaN
7,Oscarpak,Mar 2025,NaN
7,k81_chevy,Mar 2025,NaN
10,Welcheren,Mar 2025,"Marvelous game that's easy to teach, hard to master. I just love Calico more (cat-lover bias)."
9,lcam,Mar 2025,NaN
9,rhiann,Mar 2025,NaN
7,Abmania22,Mar 2025,"Easy and a little boring for me.
But I like that I can play with kids on different levels simultaneously"
7.5,Dowa,Mar 2025,NaN
8,Matekocs25,Mar 2025,NaN
8.4,mcordon,Mar 2025,NaN
9,arbgg01,Mar 2025,NaN
6.5,awesym,Mar 2025,J didn't like :/ too peaceful
6,zabson,Mar 2025,NaN
5,TheGamingN00b,Mar 2025,NaN
9.5,Irppal,Mar 2025,NaN
8,ScottHuddleston,Mar 2025,NaN
10,Gatman23,Mar 2025,NaN
9,Stromkirk,Mar 2025,NaN
8,ShieldOfTinos,Mar 2025,"In my opinion, this is the best game to introduce board games to people who don't like to play board games. Teaching takes 5 minutes and the gameplay is easy to grasp. Despite its simplicity, you make an important decision every turn. It's the perfect blend crunchy decision-making and ease of play. Building our your habitat is satisfying for a number of reasons. Unlike most ""introductory"" board games, this one has more replayability and will hold the attention of veteran board gamers for many plays to come."
8,Angear,Mar 2025,NaN
7,Viinnn,Mar 2025,NaN
8,jujuan29,Mar 2025,NaN
6,Ephorus,Mar 2025,from gf
8,menschenchild,Mar 2025,NaN
,Elias Stahl,Mar 2025,App only
10,ElGaisin,Mar 2025,NaN
9,ScoreTracker,Mar 2025,NaN
8,tollukkaukko,Mar 2025,NaN
6.5,pottmeeple,Mar 2025,NaN
7.5,AdamDundon,Mar 2025,NaN
10,Artem_1403,Mar 2025,NaN
9,Spike_Studio,Mar 2025,NaN
8,mayflowery,Mar 2025,"2025 10x10
a just chunky enough tile placement game. this one's a two-for-one, too! tiles and chips to place makes this super tactile and puzzley without making me fall victim to analysis paralysis.
that said, i hate scoring this game. subtotals? two numbers per landscape type? and there's how many types? thank god there are apps that score this game for you now because scoring by hand is terrible"
7,firemage85,Mar 2025,"It’s OK, there are so many games in the tile placement space that I feel that there are better games that do the same thing."
7,Mimomime,Mar 2025,NaN
8,SergL70,Mar 2025,NaN
4,CMagex,Mar 2025,NaN
7,m0neypulati0n,Mar 2025,"7.5  Initial rating after 5 games (21/03/2024):
First 2-3 games was interesting and pleasant. After just two more games I'm already growing tired of it. Feels repetitive. Scoring is unimaginative with too little variety. More should've been included in the core box, will have to come up with our own to make it interesting. Rating likely to drop."
8,hrhyankee_carina,Mar 2025,NaN
,Flukestrategist,Mar 2025,too simplistic
8,DarkZyyde,Mar 2025,NaN
8,Angelo90,Mar 2025,NaN
7,Sicaria,Mar 2025,NaN
8.8,blake33,Mar 2025,"Addictive, and consistently simple and fun"
6,RoundTableGames,Mar 2025,NaN
7,fenoli,Mar 2025,NaN
8.5,davidjanda,Mar 2025,"Spiel des Jahres
2022
Mini-Erweiterung"
6,Dm79,Mar 2025,NaN
7.5,SupremeSchrute,Mar 2025,NaN
6.5,bambixel,Mar 2025,Sleeved
7,cyranojak,Mar 2025,NaN
8,Vernalis,Mar 2025,the best puzzle-like family game
7,lanlalencafe,Mar 2025,NaN
7,Sliddell2015,Mar 2025,NaN
9,Maricah,Mar 2025,NaN
8,MrGruz,Mar 2025,NaN
7.5,NordOstaN,Mar 2025,NaN
7,Uki1206,Mar 2025,NaN
8,LannisterCrimson,Mar 2025,"Bling Status ✓

Expansions: ✓
Promos: ✓
Special Edition: -
Upgraded Components: ✓ Upgraded Pine Cones"
10,IgrockPun,Mar 2025,2640
8,m1k3s,Mar 2025,NaN
8,Nicolabax,Mar 2025,NaN
9,marthafocker,Mar 2025,NaN
9,LogantheBard,Mar 2025,NaN
4,sos6202,Mar 2025,NaN
10,Hoodedcr0w,Mar 2025,NaN
8.5,DJB888,Mar 2025,NaN
9,luinux,Mar 2025,NaN
